,id,scrape_timestamp,scrape_source,scrape_company_name,scrape_company_domain,job_title_scrape,scrape_job_title,scrape_job_url,scrape_job_location,scrape_category,scrape_keyword,scrape_job_intent,scrape_type_of_job,scrape_job_description,scrape_posted_time,scrape_country,scrape_job_post_date,scrape_job_scrape_date,scrape_timezone,scrape_company_size,Category
0,1382397,2023-12-14T07:39:19.592Z,Indeed,Clopay Corporatio,clopaydoor.com,Developer,Developer,https://www.indeed.com/rc/clk?jk=5c473290ec2a7321&bb=7IBIEXEhyHqd1oC-W7VOaY7Rgy9r58WtfNdqGd_xsfzfk-qWtLoBofR8_BR93X_2&xkcb=SoA067M3HzgU6-Wk2B0KbzkdCdPP&fccid=ad6bbf7092d45348&vjs=3,"Troy, OH",Web App Development / Javascript,Angular Developer,general_engineering,Full-time,,,"Troy, OH",12/14/2023,12/14/2023,Eastern Standard Time,,website Development
1,1382404,2023-12-14T07:40:09.666Z,Indeed,MiTek,mitek-us.com,Software Engineer,Software Engineer,https://www.indeed.com/rc/clk?jk=2ee645cdf7690315&bb=I__hPBR23BbQLK26-PENZDBeRQ_WG7j58DnrBjmowiG5KtoCyMEjJfUYDtQbV5Yr&xkcb=SoAl67M3HzgU64Wk2B0IbzkdCdPP&fccid=eb3f3576f6310630&vjs=3,"Chesterfield, MO 63017",Web App Development / Javascript,Angular Developer,general_engineering,Full-time,,,"Chesterfield, MO 63017",12/14/2023,12/14/2023,Central Standard Time,,General Engineering
2,1382428,2023-12-14T07:43:50.373Z,Indeed,Blu Omega ,bluomega.com,"ServiceNow UI Developer,ServiceNow UI Developer",ServiceNow UI Developer,https://www.indeed.com/rc/clk?jk=5f38dfce99271362&bb=92gC_Q4sGfi4rqtqGv8gYAZWm37BCJzh8wNjW9OHZTIvj8ut1xpYRpSI4emWav3Y&xkcb=SoAI67M3Hzg0qQ2k1R0ObzkdCdPP&fccid=2a13b5ec705d5d43&vjs=3,Remote,Web App Development / Javascript,Angular UI Developer,js_engineeering,"$145,000 a year - Temp-to-hire, Contract",,,Remote,12/14/2023,12/14/2023,,,Backend Engineering
3,1382435,2023-12-14T07:44:40.936Z,Indeed,TikTok,tiktok.com,"Software Engineer (Frontend/Fullstack) - TikTok, Trust & Safety,Software Engineer (Frontend/Fullstack) - TikTok, Trust & Safety","Software Engineer (Frontend/Fullstack) - TikTok, Trust & Safety",https://www.indeed.com/rc/clk?jk=91b9a942bb4cb046&bb=EVAqmxmSeiKcGN06rVEdLi08s090bR8vBBoJ5d7EMhcR9N7gKOTWpDx5SUUjuvt6&xkcb=SoCJ67M3Hzg0qSWk1R0KbzkdCdPP&fccid=caed318a9335aac0&vjs=3,"Seattle, WA",Web App Development / Javascript,Angular UI Developer,general_engineering,"$216,600 - $342,000 a year",,,"Seattle, WA",12/14/2023,12/14/2023,Pacific Standard Time,,
4,1382436,2023-12-14T07:44:47.505Z,Indeed,Technica Corporatio,technicacorp.com,"Application Developer IV,Application Developer IV",Application Developer IV,https://www.indeed.com/rc/clk?jk=6e2946faa7ae3248&bb=EVAqmxmSeiIl5nRMfOu8wDvg5jo6F-DyfhrAWSIWtEMyT4XZtVgsNByWX6S-zxgz&xkcb=SoCg67M3Hzg0qSWk1R0IbzkdCdPP&fccid=2c1a2db4e678196f&vjs=3,"913 Billy Mitchell Blvd, San Antonio, TX 78226",Web App Development / Javascript,Angular UI Developer,general_engineering,Full-time,,,"913 Billy Mitchell Blvd, San Antonio, TX 78226",12/14/2023,12/14/2023,Central Standard Time,,General Engineering
5,1382439,2023-12-14T07:45:39.609Z,Indeed,PRIMESOFT INC,primesoftinc.com,.NET Architect (10+ Years),.NET Architect (10+ Years),https://www.indeed.com/rc/clk?jk=b7c53b25b1398670&bb=0I4vA9tKllDD7xVl0FNTggCMEb87P0hbgxWr9X4ticsZhY9ZN8Wkh-7mAP-pC8yGKKYbcAu8vKULGvUuZEXKdzq5SNKYECj3l7fCT97MkNU%3D&xkcb=SoBw67M3HzhEdfQtBJ0KbzkdCdPP&fccid=303cbdd6e383d86e&cmp=Primesoft%2C-Inc&ti=Software+Architect&vjs=3,Remote,Web App Development / Javascript,Angular Architect,backend,$52.29 - $80.00 an hour - Contract,,,Remote,12/13/2023,12/14/2023,,,Backend Engineering
6,1382440,2023-12-14T07:45:45.531Z,Indeed,Primesoft,primesoft.net,.Net Architect (Fixed Income)(USC/GC Only),.Net Architect (Fixed Income)(USC/GC Only),https://www.indeed.com/rc/clk?jk=57aec50b43c0a0d0&bb=0I4vA9tKllDD7xVl0FNTgs6Af-Atoqq4PYq3oiZDE-q9QF-IoguhRlAZbqVuzdLF4aVC1XOzL5CwdIdMBem15F29GaFSNoFOxCIybF-5plk%3D&xkcb=SoDt67M3HzhEdfQtBJ0JbzkdCdPP&fccid=0540b5b387d37378&cmp=Primesoftinc&ti=Software+Architect&vjs=3,Remote,Web App Development / Javascript,Angular Architect,backend,$75 - $80 an hour - Contract,,,Remote,12/13/2023,12/14/2023,,,Backend Engineering
7,1382441,2023-12-14T07:45:52.097Z,Indeed,keasis,keasis.com,DevOps Architect,DevOps Architect,https://www.indeed.com/rc/clk?jk=14de1dbcb41a364c&bb=0I4vA9tKllDD7xVl0FNTgrChXiWr9b-p6HqusoiRvdLpFDX42mMaffYm1uB_H2AE3feyE8e_E_8DkV_L3UDjV87AgPgkzylDJ2yH7asKejQ%3D&xkcb=SoBZ67M3HzhEdfQtBJ0IbzkdCdPP&fccid=7dd7896c227f1bc9&cmp=Keasis-Inc&ti=Devops+Architect&vjs=3,"806 Alabama St, Houston, TX 77002",Web App Development / Javascript,Angular Architect,devops,$70 - $78 an hour - Full-time,,,"806 Alabama St, Houston, TX 77002",12/13/2023,12/14/2023,Central Standard Time,,DevOps (DevOps & General Cloud Campaign)
8,1382442,2023-12-14T07:45:58.705Z,Indeed,NLB Technology Services,nlbservices.com,Azure Devops Architect,Azure Devops Architect,https://www.indeed.com/rc/clk?jk=94ae0a14f764a809&bb=0I4vA9tKllDD7xVl0FNTguOe0_2I50oQqUHFP9U3QGXqHnHTbDF3xMc4bGlVG3bH4hhBJ6CdldEsK6sz4FKhMhbmGK8Umcyj9uWwmNZpNkA%3D&xkcb=SoDX67M3HzhEdfQtBJ0PbzkdCdPP&fccid=b3fc027da382dafc&cmp=NLB-Technology-Services&ti=Software+Architect&vjs=3,"1506 1/2 W 34th 1/2 St, Houston, TX 77018",Web App Development / Javascript,Angular Architect,devops,"Full-time, Contract",,,"1506 1/2 W 34th 1/2 St, Houston, TX 77018",12/13/2023,12/14/2023,Central Standard Time,,AWS
9,1382443,2023-12-14T07:46:05.444Z,Indeed,Optimus Unit,optomic.com,Java Tech Lead/Architect,Java Tech Lead/Architect,https://www.indeed.com/rc/clk?jk=d9a08d661aa60e55&bb=0I4vA9tKllDD7xVl0FNTgrOVy9uEA20TAllafNo8I7cOJ7xl4F_3f3p3SJBX7yesX-AhYsAWSDsfe5-MqMLWLd_GDu6wl9HLZgNFDeODVvs%3D&xkcb=SoBj67M3HzhEdfQtBJ0ObzkdCdPP&fccid=7a082f322327fef5&cmp=Optimus-Unit&ti=Senior+Java+Developer&vjs=3,"1 Skyview Drive, Fort Worth, TX 76155",Web App Development / Javascript,Angular Architect,backend,"$49.00 - $79.04 an hour - Temporary, Permanent, Temp-to-hire, Full-time, Contract",,,"1 Skyview Drive, Fort Worth, TX 76155",12/13/2023,12/14/2023,Central Standard Time,,Backend Engineering
